taxi_zone_id,taxi_zone_name,borough,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
31,Bronx Park,Bronx,1464,0.13456284153005466,0.22582256134171658,0.2946074868208185,0.44674419720940634,-0.2355037801914508,74.19115532252812,191.6101994468049,0.09125971981166195
32,Bronxdale,Bronx,1464,0.8913934426229508,0.9812705233692414,0.8174486528861241,1.1574474460946593,0.12743217311131294,48.05109480998495,128.1103532998636,0.08987708074629058
33,Brooklyn Heights,Brooklyn,1464,7.713114754098361,7.8532955465773275,2.8915466923415005,3.939933775500423,0.598877723583515,55.11272178129195,59.003040250456245,0.14018079247896725
34,Brooklyn Navy Yard,Brooklyn,1464,1.0348360655737705,1.0042409937574985,0.9932179710149818,2.5377681341500526,0.5099817271679774,55.645225865484115,150.34980106409313,-0.030595071816272013
35,Brownsville,Brooklyn,1464,3.7431693989071038,3.8226861830950902,1.8105378859652037,2.470036108130188,0.48134516918235226,62.929696817236625,73.52536118567289,0.07951678418798645
36,Bushwick North,Brooklyn,1464,5.186475409836065,5.046304372433883,2.34766164651129,4.2715514712964815,0.7089017518434585,63.35580201648845,61.1215591200078,-0.14017103740218217
37,Bushwick South,Brooklyn,1464,9.236338797814208,8.95977383185796,3.3664709140562366,5.5830904725493316,0.6221966520829636,52.953265260029866,40.96467856608821,-0.27656496595624697
38,Cambria Heights,Queens,1464,0.6181693989071039,0.7312046490917271,0.6981171826180815,0.9656662657326099,0.062079407367052974,53.53784848714448,149.921801340789,0.11303525018462324
39,Canarsie,Brooklyn,1464,4.33948087431694,4.414840781233149,1.971907140057683,2.7278182807487132,0.5814700794162055,61.070020704193,72.75699027001616,0.07535990691620893
40,Carroll Gardens,Brooklyn,1464,2.1974043715846996,2.2660124207282473,1.409170247449473,1.930132362822129,0.39386176513030735,63.265104834767186,93.6801830684116,0.0686080491435478
41,Central Harlem,Manhattan,1464,27.838797814207652,28.42000213101015,6.333288877688605,8.686111281974846,0.7368375275003245,31.17547046692643,27.283681824269177,0.5812043168025022
42,Central Harlem North,Manhattan,1464,20.581284153005466,21.16953900026243,5.182219801032761,7.126623227691465,0.6781825379385708,34.04255732875544,28.612343603304872,0.5882548472569651
